key_tempo;invoice_date;Ano;Mes;Dia;Trimestre
4e033db52d58c0f6ed61abe2a498ff42f8ca2cbf51a15d70147101d3ff722a71;2019-02-13;2019;2;13;1
e3f6660e80921c5a5ffcefe8c7f7732b1b3bdc1242b7b11cdd1b442e483cd1cb;2018-01-31;2018;1;31;1
c891a15859db467ddce592e8554c6b760f607db0aaf7b5e4473f602aadf934c3;2018-11-27;2018;11;27;4
b04f7aafc8231d4abffdd0bc78154984770c629d65521a64506c6f1fff0b8d43;2018-01-23;2018;1;23;1
aa809b1a38c4798bd1fc6cda21ca7ace3025902572983353f888e104063305f6;2017-08-17;2017;8;17;3
57e8781d0f42b909c3007997a10a46bfbb9328d63c0e1e507f66e9db4a4d657a;2017-11-09;2017;11;9;4
b3b747dbfb58e38f36c6f6a80b2af9270b91228a4bb6aec32f2213a963a4f8b3;2018-10-01;2018;10;1;4
83749813379eddd4f065a6af5e2bde0770b9fbcae1b2df72ff71ff77317b670a;2017-12-07;2017;12;7;4
5053396a046fa9d2369ad57c019c440901f724ab409d18755cc84ba405f714bd;2018-07-10;2018;7;10;3
7eb7ce36034845d6d596df8b6d8a1c575c8e999af43f1d7c5794066e070d8ed6;2018-03-13;2018;3;13;1
a541faf7ad3d32695613b66cdd90ece266cf9b697833927710917914e425a3b0;2017-04-14;2017;4;14;2
f75a278b7522b6c39c31f02f7d6ef42b8cdfc0fca70d20c3b04fd4acb73feb71;2017-12-24;2017;12;24;4
974c5a0122103ae8a189ecd483875a995ef28b4e7297554ccba7b81355af1efa;2017-09-28;2017;9;28;3
5ad423cd80c4630d2f332d32a52c24da0f249bca85fe30bf01119a5b08196617;2017-11-10;2017;11;10;4
9b05ed37346277730b7f0024ae5969dc5d78a260498bf3d3c48d257d01dec948;2017-09-02;2017;9;2;3
57ce4740c589e02b979ca24dc3978ac46d051015c5dada829537b58549af5c86;2017-12-15;2017;12;15;4
73097d029dc8b5b8f8b0c49728cbc61ed8b260cccbaf4dc0049d754cdd5865a7;2019-03-11;2019;3;11;1
f3885eed3dee8395b2305a94c900c1e37884cb4c00a60204da0db3f2c8103647;2017-12-03;2017;12;3;4
2ecd35e044392b70360b2294b1ed16bbdbb42f7b65742b4f350bad3d82a3523d;2018-02-20;2018;2;20;1
f31786bd92a244aa7db4a49a266185ff8966ecc245059f3182e8fa05c2891b44;2018-04-28;2018;4;28;2
a78b89578cff7e903c92fa158450f9d5a2a6cc0783878ca1339cf2c6fcc9f5a4;2018-08-21;2018;8;21;3
4ca058b83e4c39c66a517549f3f94488c90815628ef9fe1de29f5e4342ce0d6a;2017-06-03;2017;6;3;2
81be3ad2ca32e29f42d22d0e666cf5713a60bafa99b403dfaa41bfd13de60888;2018-08-13;2018;8;13;3
11857d0990bc2a3bb38e2a926232d8779b357f11460621f678852ad7de4c297c;2018-12-25;2018;12;25;4
de4c0215c4604daff5aea0eb57fb5ac879df9a40e1142add3259ed1fc3f8655c;2018-02-25;2018;2;25;1
c91259b3b8ddd1e949b248d2593ae3657593d96d4709f744f6e7e652264250db;2017-07-08;2017;7;8;3
0ce218a4feb62144cb4d811bba1c28a15665ecd5b50718d3b77372f83a773a9a;2017-01-20;2017;1;20;1
50101d93f286f97aff32ddc45974983f343bbea9817015c4966bc1f685f0f334;2017-07-27;2017;7;27;3
fd65b2de12905507db767df69f2cb9100002711f02b241491a687418a69f87a6;2017-12-23;2017;12;23;4
c5685fcc5f5cb7c1c35b0ef109fbccfaf498726bcbf0d5f76cd796d7d18427f0;2018-08-29;2018;8;29;3
705ee74b39e8ab7e26e7f62bb3c1689bd2464acee7710ef38bfef5b4413f9e74;2018-08-26;2018;8;26;3
6813057586f3a9bd357b4ecaf94c4901501a17d4d8690fe34099c8b8cd35fb78;2017-04-29;2017;4;29;2
4b10a26db3207fc5d45b82ad556ec2a11e38f05c70fafcc77abd5a264720c7d2;2018-11-03;2018;11;3;4
